Name,Description,Category,Address,Latitude,Longitude,Icon Color,Google Maps URL,Operating Hours,Admission Fee,Ratings,Notes,Type
Amerind Museum & Texas Canyon Nature Preserve,"Amerind seeks to foster and promote knowledge and understanding of the Native Peoples of the Americas through research, education, conservation, and community engagement.",Roadside Attraction,"2100 N Amerind Rd, Dragoon, AZ 85609, United States",32.0455959631931,-110.078241184759,N/A,"https://www.google.com/maps/place/Amerind+Museum+%26+Texas+Canyon+Nature+Preserve/@32.0453868,-110.0878113,2085m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+in+Arizona!6e1!3m6!1s0x86d70ee8447e931f:0xb2c18bc16c098bda!8m2!3d32.0453868!4d-110.0782841!15sCh9yb2Fkc2lkZSBhdHRyYWN0aW9ucyBpbiBBcml6b25hWiEiH3JvYWRzaWRlIGF0dHJhY3Rpb25zIGluIGFyaXpvbmGSAQZtdXNldW3gAQA!16zL20vMDgwazYw?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",10 AM–4 PM,,4.7/5,,Attraction
Rocky the Frog,"On Highway 89 between the towns of Yarnell and Congress there is a frog. Well, it’s not actually on the road. It sits on top of a pile of boulders on the west side of the road. It has been sitting there in all of its green splendor since 1928 when Sara Perkins spotted the frog-shaped rock and painted it green with black spots.",Roadside Attraction,"AZ-89, Congress, AZ 85332, United States",34.1783777529416,-112.831330627087,N/A,"https://www.google.com/maps/place/Rocky+the+Frog/@34.1781026,-112.8409222,2035m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+in+Arizona!6e1!3m6!1s0x80d33a6889d62307:0xad452c4bd9029267!8m2!3d34.1781026!4d-112.831395!15sCh9yb2Fkc2lkZSBhdHRyYWN0aW9ucyBpbiBBcml6b25hWiEiH3JvYWRzaWRlIGF0dHJhY3Rpb25zIGluIGFyaXpvbmGSAQhsYW5kbWFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOcGJHRXpPRlozRUFF4AEA-gEECAAQQA!16s%2Fg%2F11cjnmsydl?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.6/5,,Attraction
Bedrock City Yabba-Dabba-Doo,,Roadside Attraction,"332 AZ-64, Williams, AZ 86046, United States",35.6540300856474,-112.139475016508,N/A,"https://www.google.com/maps/place/Bedrock+City+Yabba-Dabba-Doo/@35.6537424,-112.1500751,1999m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+in+Arizona!6e1!3m6!1s0x8732eed285bb3fa1:0xb43e3072cb8c9245!8m2!3d35.6537424!4d-112.1405479!15sCh9yb2Fkc2lkZSBhdHRyYWN0aW9ucyBpbiBBcml6b25hWiEiH3JvYWRzaWRlIGF0dHJhY3Rpb25zIGluIGFyaXpvbmGSAQ5hbXVzZW1lbnRfcGFya-ABAA!16s%2Fg%2F11csqvy2wl?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",9 AM–6 PM,,4.1/5,,Attraction
Navajo Moenave Dinosaur Tracks,"Navajo Nation is a dusty, windswept expanse with breathtaking desert landscapes but not a tree or drop of water in sight. About 200 million years ago, however, the area was a marshy riverbed that preserved hundreds of footprints from the dinosaurs that trod across it.",Roadside Attraction,"US-160, Tuba City, AZ 86045, United States",36.1031767098026,-111.31764988496,N/A,"https://www.google.com/maps/place/Navajo+Moenave+Dinosaur+Tracks/@36.0965017,-111.328722,3975m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+in+Arizona!6e1!3m6!1s0x8733cdda4f8e0115:0x1ca10b37823af672!8m2!3d36.1028966!4d-111.3175944!15sCh9yb2Fkc2lkZSBhdHRyYWN0aW9ucyBpbiBBcml6b25hWiEiH3JvYWRzaWRlIGF0dHJhY3Rpb25zIGluIGFyaXpvbmGSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjRObUZNVW5KQlJSQULgAQD6AQQIDxBH!16s%2Fg%2F11c1qw6gp2?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.4/5,,Attraction
Casa Grande Neon Sign Park,,Roadside Attraction,"408 N Sacaton St, Casa Grande, AZ 85122, United States",32.8794663538434,-111.754149823486,N/A,"https://www.google.com/maps/place/Casa+Grande+Neon+Sign+Park/@32.8789798,-111.7734188,4132m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+in+Arizona!6e1!3m6!1s0x872a67316a527c07:0xee14170bc756e8c5!8m2!3d32.8789798!4d-111.7543644!15sCh9yb2Fkc2lkZSBhdHRyYWN0aW9ucyBpbiBBcml6b25hWiEiH3JvYWRzaWRlIGF0dHJhY3Rpb25zIGluIGFyaXpvbmGSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlBiVzltUW14blJSQULgAQD6AQQIRhBA!16s%2Fg%2F11flqvsxwq?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",6 AM–11 PM,,4.5/5,,Attraction
Mohave Point,"South Rim overlook with wide vistas of terraced cliffs, sandstone mesas & curving Colorado River.",Roadside Attraction,"Hermit Rd, Grand Canyon Village, AZ 86023, United States",36.0729530518214,-112.166203215549,N/A,"https://www.google.com/maps/place/Mohave+Point/@36.0724154,-112.1852147,3977m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+in+Arizona!6e1!3m6!1s0x87331721b9a1d24d:0x6f23b7eb424b19df!8m2!3d36.0724154!4d-112.1661603!15sCh9yb2Fkc2lkZSBhdHRyYWN0aW9ucyBpbiBBcml6b25hWiEiH3JvYWRzaWRlIGF0dHJhY3Rpb25zIGluIGFyaXpvbmGSAQt2aXN0YV9wb2ludOABAA!16s%2Fg%2F11cfckq9h?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.9/5,,Attraction
The Cougar's Shadow Viewing Site,,Roadside Attraction,"1334 S Goldfield Rd, Apache Junction, AZ 85119, United States",33.4036531767165,-111.511267830893,N/A,"https://www.google.com/maps/place/The+Cougar's+Shadow+Viewing+Site/@33.403277,-111.5302364,4107m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+in+Arizona!6e1!3m6!1s0x872bb70001a616b1:0x55219e48ae3f103e!8m2!3d33.403277!4d-111.511182!15sCh9yb2Fkc2lkZSBhdHRyYWN0aW9ucyBpbiBBcml6b25hkgESdG91cmlzdF9hdHRyYWN0aW9u4AEA!16s%2Fg%2F11whwyhppg?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,,,Attraction
Bonelli House,"Built in 1915, this volcanic-stone home is now a house museum with period furnishings.",Roadside Attraction,"430 E Spring St, Kingman, AZ 86401, United States",35.1921272833184,-114.051017392799,N/A,"https://www.google.com/maps/place/Bonelli+House/@35.1913031,-114.0703722,4021m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+in+Arizona!6e1!3m6!1s0x80cdde7ee0a07fe1:0x39ea04d024625f32!8m2!3d35.1913031!4d-114.0513178!15sCh9yb2Fkc2lkZSBhdHRyYWN0aW9ucyBpbiBBcml6b25hWiEiH3JvYWRzaWRlIGF0dHJhY3Rpb25zIGluIGFyaXpvbmGSAQZtdXNldW3gAQA!16s%2Fm%2F04jn3hl?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",11 AM–2:30 PM,,4.6/5,,Attraction
Grand Canyon Deer Farm LLC,"Large petting zoo with chances to feed fallow deer, also home to cockatoos, wallabies & llamas.",Roadside Attraction,"6769 Deer Farm Rd, Williams, AZ 86046, United States",35.2663391519664,-112.057219000205,N/A,"https://www.google.com/maps/place/Grand+Canyon+Deer+Farm+LLC/@35.265761,-112.0762734,4017m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+in+Arizona!6e1!3m6!1s0x87329cd7195afff3:0x8fc4ec1a4eb9b080!8m2!3d35.265761!4d-112.057219!15sCh9yb2Fkc2lkZSBhdHRyYWN0aW9ucyBpbiBBcml6b25hWiEiH3JvYWRzaWRlIGF0dHJhY3Rpb25zIGluIGFyaXpvbmGSAQN6b2_gAQA!16s%2Fg%2F1tfd7fyj?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",10 AM–5 PM,,4.7/5,,Attraction
Carl Hayden Visitor Center,,Roadside Attraction,"1000 US-89, Page, AZ 86040, United States",36.9357968597235,-111.486279715938,N/A,"https://www.google.com/maps/place/Carl+Hayden+Visitor+Center/@36.9346495,-111.4890611,1169m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+in+Arizona!6e1!3m6!1s0x87346b2fc2cdd7eb:0x6a39cb94854a7ced!8m2!3d36.9356903!4d-111.4862669!15sCh9yb2Fkc2lkZSBhdHRyYWN0aW9ucyBpbiBBcml6b25hWiEiH3JvYWRzaWRlIGF0dHJhY3Rpb25zIGluIGFyaXpvbmGSAQ52aXNpdG9yX2NlbnRlcuABAA!16s%2Fg%2F12q4tl700?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",9 AM–4 PM,,4.6/5,,Attraction
