Name,Description,Category,Address,Latitude,Longitude,Icon Color,Google Maps URL,Operating Hours,Admission Fee,Ratings,Notes,Type
World’s Largest Ball of Twine,A massive ball of twine created by locals over decades.,Roadside Attraction,"200-298 1st St, Cawker City, KS",39.62377,-98.0272,N/A,"https://www.google.com/maps/place/World's+Largest+Ball+of+Twine/@39.8439233,-102.4939516,7.03z/data=!4m9!1m2!11m1!3e1!3m5!1s0x87a288823e563971:0xf108f3f6fdf7452f!8m2!3d39.5092169!4d-98.433689!16s%2Fg%2F1q5bpq4n8?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",9:00 AM - 5:00 PM,Free,4.5/5,Great for quirky photo ops.,Attraction
Kenai Fjords National Park,Picturesque park on the Kenai Peninsula featuring a huge ice field of glaciers & diverse wildlife.,Roadside Attraction,"Seward, AK 99664, United States",60.1290013162384,-150.170109257467,N/A,"https://www.google.com/maps/place/Kenai+Fjords+National+Park/@61.0514501,-159.5524334,1219253m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56c79c630608aa09:0x12143ced272edc64!8m2!3d59.8486745!4d-150.1878803!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgENbmF0aW9uYWxfcGFya-ABAA!16zL20vMDM4d3dm?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.9/5,National park,Attraction
Mukluk Land,It's a great place for kids and people of all ages.,Roadside Attraction,"AK-2, Tok, AK 99780, United States",63.6268132311249,-143.029916828521,N/A,"https://www.google.com/maps/place/Mukluk+Land/@60.4627106,-159.5533542,1241838m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x514a8879c69894ab:0xa26eece8b3312eb1!8m2!3d63.342255!4d-143.0805546!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEKdGhlbWVfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOMU9GOVlXVGhCUlJBQuABAPoBBAgkEDk!16s%2Fg%2F11dzw7vhx3?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",2:00 PM - 6:00 PM,,4.8/5,Theme park,Attraction
Denali National Park and Preserve,"This 6 million-acre park with wildlife & tours is home to Denali, the nation’s highest peak.",Roadside Attraction,"Alaska, United States",63.4407554392041,-150.105112064693,N/A,"https://www.google.com/maps/place/Denali+National+Park+and+Preserve/@63.342255,-152.836414,1130171m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56cdf3ff88d01605:0xc6b53b15131936a5!8m2!3d63.2827613!4d-150.789398!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgENbmF0aW9uYWxfcGFya-ABAA!16zL20vMDFuYjZw?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.8/5,National park,Attraction
Dolly's House,This early-19th-century brothel displays period furnishings & offers self-guided tours.,Roadside Attraction,"Side of building, 24 Creek St, Ketchikan, AK 99901, United States",55.6464587396415,-131.66305206126,N/A,"https://www.google.com/maps/place/Dolly's+House/@55.3415005,-141.3969387,1432510m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x540c250484f20b87:0x90c9b59fcc87bff5!8m2!3d55.3415005!4d-131.6410793!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEGbXVzZXVt4AEA!16s%2Fg%2F1tj2bpkt?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",7:30 AM–4:00PM,,4.6/5,Museum,Attraction
Moose Antler Arch,Slightly underwhelming as far as size and location.,Roadside Attraction,"Fairbanks, AK 99701, United States",65.0557415098405,-147.779878173286,N/A,"https://www.google.com/maps/place/Moose+Antler+Arch/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x513245465aa141bd:0xc76f4766e85945c4!8m2!3d64.8464242!4d-147.7139601!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50WjJJdFVqRjNSUkFC4AEA-gEFCOYBEDI!16s%2Fg%2F11bw208qnj?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.5/5,,Attraction
Snow Plow Train,This is the retired snow plow used by the White Pass & Yukon Railroad: Rotary Snow Plow Number 1!,Roadside Attraction,"18624-18656 Seward Hwy, Anchorage, AK 99516, United States",61.283230744992,-149.779389870465,N/A,"https://www.google.com/maps/place/Snow+Plow+Train/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56c89b3669b033f3:0x98c5e483ce5f80c2!8m2!3d61.0514501!4d-149.796574!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54ZUhZemRrMVJFQUXgAQD6AQQIABAx!16s%2Fg%2F11jf9h8cls?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.8/5,Located in: Chugach State Park Headquarters,Attraction
Star the Reindeer,Star the Reindeer lives in downtown Anchorage at 10th ave and I St. Tradition started in 1960.,Roadside Attraction,"840 W 10th Ave, Anchorage, AK 99501, United States",61.4621945890704,-149.823335182491,N/A,"https://www.google.com/maps/place/Star+the+Reindeer/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56c8bdeb17de3ae1:0xbddb46fa2372cc54!8m2!3d61.212637!4d-149.899482!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5hZFhaeFl6Um5SUkFC4AEA-gEECAAQRA!16s%2Fg%2F11vb4w4m29?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,3.9/5,,Attraction
Alyeska Pipeline / Viewing Point,"Alaska's oil pipeline is the focus of this museum, which features an above-ground pipe display.",Roadside Attraction,"1671 Steese Hwy, Fairbanks, AK 99712, United States",65.1297718130512,-147.648042237208,N/A,"https://www.google.com/maps/place/Alyeska+Pipeline+%2F+Viewing+Point/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x5132467b3bfef615:0xcb990d63a5745267!8m2!3d64.9295414!4d-147.6297414!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QWjFBdE5XSm5FQUXgAQD6AQQIABA2!16s%2Fg%2F11cm3j0m3m?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.6/5,,Attraction
Aurora Ice Museum,"Open year-round, this whimsical, 25-degree museum includes ice sculptures, a bar & parka rentals.",Roadside Attraction,"17600 Chena Hot Springs Rd, Fairbanks, AK 99712, United States",65.268024363057,-145.934175068198,N/A,"https://www.google.com/maps/place/Aurora+Ice+Museum/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x5133ca2b0068b577:0xf6d6d6a2e82c85b0!8m2!3d65.0539184!4d-146.0596934!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9u4AEA!16s%2Fg%2F11fy2k_pzg?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",11 AM–7 PM,,4.2/5,,Attraction
Beluga Point,"Scenic turnout & popular whale-watching spot, with paved parking, telescopes & interpretive signs.",Roadside Attraction,"Mile 110 Seward Hwy, Anchorage, AK 99540, United States",61.2198222451437,-149.713471902426,N/A,"https://www.google.com/maps/place/Beluga+Point/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56c8847ecea3bec1:0x6c498aac81852499!8m2!3d61.0067501!4d-149.6943857!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5TZFhCTFZpMW5SUkFC4AEA-gEECAAQSw!16s%2Fm%2F06_jr5w?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.7/5,,Attraction
Bird Point,"Picturesque park featuring a paved, multi-use trail & observation point with mountain & ocean views.",Roadside Attraction,"Seward Hwy, Anchorage, AK 99540, United States",61.1880700036943,-149.339936750206,N/A,"https://www.google.com/maps/place/Bird+Point/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56c87dd3b5d52ebd:0x83a0871445151a8a!8m2!3d60.9287953!4d-149.3466587!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgELc2NlbmljX3Nwb3SaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhiMDFoWVdOUkVBReABAPoBBAgAECg!16s%2Fg%2F11bw3xcbk2?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.7/5,,Attraction
Seafarer's Memorial,North Pacific Fisheries Association (NPFA) was incorporated in 1955. Its primary function for two decades was as a marketing entity.,Roadside Attraction,"4535 Homer Spit Rd, Homer, AK 99603, United States",60.1795946621355,-151.711532243068,N/A,"https://www.google.com/maps/place/Seafarer's+Memorial/@67.6049509,-165.1457355,1975668m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56c12c0542203e59:0xcc1f59b33a7e2d09!8m2!3d59.6006454!4d-151.4189454!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgENbWVtb3JpYWxfcGFya-ABAA!16s%2Fg%2F1tp_63fy?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.7/5,,Attraction
Fish Creek Wildlife Observation Site,"The Fish Creek Wildlife Viewing Site is a day-use recreation area in the Salmon River valley near Hyder, Alaska. Both brown (grizzly) and black bears can be observed and photographed at the site as they fish for chum and pink salmon in the clear shallow waters of Fish Creek and Marx Creek.",Roadside Attraction,"Hyder, AK 99923, United States",56.41433218955,-130.193780052079,N/A,"https://www.google.com/maps/place/Fish+Creek+Wildlife+Observation+Site/@55.9619369,-150.1449517,2819980m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x540bd194b487da4d:0x718cf2c91b55a8db!8m2!3d55.9619369!4d-130.0614961!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5sZWt4RWFETm5SUkFC4AEA-gEECBQQSQ!16s%2Fg%2F1ts1rxx6?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",6 AM–10 PM,,4.6/5,,Attraction
Giant Santa Statue,"The world's largest Santa Claus statue greets visitors to Santa Claus House in the Christmas themed town of North Pole (14 miles east of Fairbanks), Alaska, USA. Standing 42 feet high and weighing 900 pounds, this Santa was built for the 1962 World's Fair in Seattle, and then travelled promotionally until emplaced at North Pole in 1983.",Roadside Attraction,"125 St Nicholas Dr, North Pole, AK 99705, United States",65.1833567957924,-147.37639705421,N/A,"https://www.google.com/maps/place/Giant+Santa+Statue/@55.9619369,-150.1449517,2819980m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x51324de48d47e473:0x54b848ccf3ff5922!8m2!3d64.7538956!4d-147.3419647!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVExTW05eVdESjNSUkFC4AEA-gEFCKACECc!16s%2Fg%2F11kc16d5mj?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.6/5,,Attraction
The Overlook,,Roadside Attraction,"Talkeetna, AK 99676, United States",62.8555007366276,-150.232842335895,N/A,"https://www.google.com/maps/place/The+Overlook/@55.9619369,-150.1449517,2819980m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56cebfc5c9a825cd:0xd0bca1567c2ae6dd!8m2!3d62.3047975!4d-150.1009212!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJLZEY5TVlUUm5SUkFC4AEA-gEECAAQNA!16s%2Fg%2F11fkw91fnn?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.8/5,,Attraction
Portage Lake Overlook,"Portage Lake is a glacial lake in the Chugach National Forest of the U.S. state of Alaska. It sits in a long, heavily glaciated valley, and abuts the calving face of Portage Glacier at its southern end.",Roadside Attraction,"Portage Glacier Rd, Anchorage, AK 99587, United States",61.3339131733455,-148.606865790936,N/A,"https://www.google.com/maps/place/Portage+Lake+Overlook/@59.352958,-149.2530023,763501m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c87396747094f3:0x669355916fb13b73!8m2!3d60.7870364!4d-148.8214307!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4xT0RaMk5GcFJFQUXgAQD6AQQIIhBJ!16s%2Fg%2F11ft74b59x?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.9/5,,Attraction
Hammer Museum,"Small museum, open May–Sep, presenting exhibits tracing the global history of the hammer.",Roadside Attraction,"108 Main St, Haines, AK 99827, United States",59.304587673466,-135.431072269306,N/A,"https://www.google.com/maps/place/Hammer+Museum/@59.2562005,-137.5606704,382838m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x54001f762e035807:0x44e8fa16e303c718!8m2!3d59.2350206!4d-135.4444092!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEGbXVzZXVt4AEA!16s%2Fm%2F02rr4mh?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",10 AM–5 PM,,4.7/5,,Attraction
Palmer Museum of History & Art,"Quaint, heritage museum offering exhibits & artifacts covering local history, plus a flower garden.",Roadside Attraction,"723 S Valley Way, Palmer, AK 99645, United States",61.694999063556,-149.102051623712,N/A,"https://www.google.com/maps/place/Palmer+Museum+of+History+%26+Art/@61.5984758,-152.0134285,599076m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c91df03e7c739f:0xe1e3a0dae0cabaeb!8m2!3d61.5984758!4d-149.1129942!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEGbXVzZXVt4AEA!16s%2Fg%2F1thw6gcb?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",10 AM–4 PM,,4.6/5,,Attraction
Wedgewood Wildlife Sanctuary,"Small, scenic natural area with a lakeside walking trail, wildlife viewing & interpretive signs.",Roadside Attraction,"212 Wedgewood Dr, Fairbanks, AK 99701, United States",64.9756865716878,-147.702688024617,N/A,"https://www.google.com/maps/place/Wedgewood+Wildlife+Sanctuary/@63.7666721,-150.141999,556732m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x5132451666fb1487:0x373b82e4210a40e9!8m2!3d64.8615864!4d-147.7136743!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEPbmF0dXJlX3ByZXNlcnZl4AEA!16s%2Fg%2F11b75f3x2x?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.6/5,,Attraction
Alaska Wildlife Conservation Center,"Refuge for sick, wounded & orphaned animals that offers visitors a chance to see wildlife up close.",Roadside Attraction,"43520 Seward Hwy, Girdwood, AK 99587, United States",60.829809363753,-148.975073762679,N/A,"https://www.google.com/maps/place/Alaska+Wildlife+Conservation+Center/@60.6896426,-149.1391835,54498m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c876b20a7fd467:0xd959a1a66e3b4773!8m2!3d60.8212004!4d-148.9792242!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEPd2lsZGxpZmVfcmVmdWdl4AEA!16zL20vMDhxZzZw?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",10 AM–4 PM,,4.7/5,,Attraction
Veterans Memorial,We dedicate this quiet place to the remembrance of the veterans of Alaska who have served their country at home and throughout the world. We honor their heroism and dedication.,Roadside Attraction,"Trapper Creek, AK 99683, United States",62.7527040718544,-150.124051097766,N/A,"https://www.google.com/maps/place/Veterans+Memorial/@62.7461016,-150.5593843,72096m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56cc295cf8f0d2e5:0xcdc204c22b8cc5f!8m2!3d62.7461016!4d-150.1282322!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgENbWVtb3JpYWxfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOd2JtTmxVak5uUlJBQuABAPoBBAgAEEg!16s%2Fm%2F0h66js5?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.7/5,,Attraction
World’s Largest Gold Pan,,Roadside Attraction,"405 Warren Pl, Nome, AK 99762, United States",64.5093651758658,-165.405642428876,N/A,"https://www.google.com/maps/place/World%E2%80%99s+Largest+Gold+Pan/@64.4470866,-165.9319416,52365m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x57311bc68f9c7291:0x8b43b6e8810635d9!8m2!3d64.5004309!4d-165.408298!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJpYUdadVlTMUJSUkFC4AEA-gEECAAQHA!16s%2Fg%2F11c0pxn_y3?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.6/5,,Attraction
Lowell Creek Waterfall,"This human-engineered waterfall is powerful and impressive, spewing a whitewater gusher that grows even bigger during epic rain storms. Lowell Creek once regularly flooded the downtown Seward from Lowell Canyon—flowing right down Jefferson Street to deposit thousands of cubic yards of gravel and silt. The U.S. Army Corps of Engineers rerouted the creek through a 2,068-foot tunnel beneath Bear Mountain in 1940. The tunnel was listed on the National Register of Historic Places in 1977.",Roadside Attraction,"14823007, Seward, AK 99664, United States",60.0990229168176,-149.445713047788,N/A,"https://www.google.com/maps/place/Lowell+Creek+Waterfall/@60.0955121,-149.4609775,2383m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c79d327faaf509:0xf057b27f7d3b53e9!8m2!3d60.0979706!4d-149.4458772!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVI0ZWpaNlNXNTNSUkFC4AEA-gEECAAQHQ!16s%2Fg%2F11f5vc6hty?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.5/5,,Attraction
"Begich, Boggs Visitor Center","Visitor center since 1986 offering exhibits on glacial activity, interpretive programs & a bookshop.",Roadside Attraction,"Portage Lake Loop, Girdwood, AK 99587, United States",60.9098496826257,-148.590578067065,N/A,"https://www.google.com/maps/place/Begich,+Boggs+Visitor+Center/@60.3030442,-150.1555057,311985m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c87473cda3522b:0xe1123401d9ee31f7!8m2!3d60.7846222!4d-148.8411255!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEOdmlzaXRvcl9jZW50ZXLgAQA!16s%2Fg%2F1tzgnyxk?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",9 AM–5 PM,,4.5/5,,Attraction
North America's Most Westerly Highway Point,"large sign next to this Alaskan highway. It's such an important spot that there's also a bench, flagpole, historical marker, and monument.",Roadside Attraction,"Anchor Point, AK 99556, United States",59.8100229371129,-151.806751421976,N/A,"https://www.google.com/maps/place/North+America's+Most+Westerly+Highway+Point/@59.9155448,-152.7444454,265452m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c14b25c583ba03:0xd75e4fcb692ffa39!8m2!3d59.7755945!4d-151.8329348!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4YkRndFQxWm5FQUXgAQD6AQQIABAy!16s%2Fg%2F11gxg8vky0?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.1/5,,Attraction
Fairbanks Ice Museum,"Locally made ice sculptures, slide presentations & a nightly aurora show set in a vintage theater.",Roadside Attraction,"500 2nd Ave, Fairbanks, AK 99701, United States",64.9474575889174,-147.712140446322,N/A,"https://www.google.com/maps/place/Fairbanks+Ice+Museum/@64.9220177,-151.2411954,448904m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x5132454896de0959:0x326675f714d4934d!8m2!3d64.84378!4d-147.7181643!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEGbXVzZXVt4AEA!16s%2Fm%2F012zbtj2?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",12 P.M –6 PM,,4.0/5,,Attraction
Hurricane Gulch Bridge,"The Hurricane Gulch Bridge is a 918-foot (280 m) long steel arch railroad bridge that crosses Hurricane Gulch, Alaska. It is located at milepost 284.2, counting from Seward. At 296 feet (90 m) above the Hurricane creek, it is both the longest and tallest bridge on the entire Alaska Railroad",Roadside Attraction,"Parks Hwy, Cantwell, AK 99729, United States",63.1306029781325,-149.558808025519,N/A,"https://www.google.com/maps/place/Hurricane+Gulch+Bridge/@61.0514501,-153.8984076,609626m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56cc488c7329729d:0xce792836e770d0b4!8m2!3d63.0142588!4d-149.5907148!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEGYnJpZGdlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMYkdSMlVEbFJSUkFC4AEA-gEECBwQPg!16s%2Fg%2F11cmdgh3fw?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.6/5,,Attraction
Anchorage Light Speed Planet Walk - Mars,"The Anchorage Light Speed Planet Walk is a scale model of our solar system. Taking the walk, you experience the relative size of the planets and their distance from the Sun.",Roadside Attraction,"1201-1253 W 5th Ave, Anchorage, AK 99501, United States",61.2919547438352,-149.897888084556,N/A,"https://www.google.com/maps/place/Anchorage+Light+Speed+Planet+Walk+-+Mars/@60.8693355,-152.057533,433546m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c8bd83dbf41f0f:0x6f87a693daf873dd!8m2!3d61.2176497!4d-149.906166!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJITW5SRFpXWm5FQUXgAQD6AQUIqwEQLw!16s%2Fg%2F11g8xj42_1?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.3/5,,Attraction
